0,1,2,3,4,5,6,7,8,9,10,11,data_bollettino,data_aggiornamento
DESCRIZIONE INVASI,,,23-dicembre-2024,,,23-dicembre-2025,,,,,,2025-12-23,2025-12-23 20:39
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-23,2025-12-23 20:39
,slm,mc.lordi,,,,,,,,,,2025-12-23,2025-12-23 20:39
M.Cotugno,"252,00",480.700.000,"218,18",67.252.000,52.252.000,"216,56","-2,00",57.692.000,42.692.000,"0,60","0,00",2025-12-23,2025-12-23 20:39
,"240,00*",285.700.000,,,,,,,,,,2025-12-23,2025-12-23 20:39
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"515,90",65.000.000,52.000.000,"513,45","0,00",55.333.000,42.333.000,"0,00","0,00",2025-12-23,2025-12-23 20:39
,"527,00 *",123.429.000,,,,,,,,,,2025-12-23,2025-12-23 20:39
,"525,50 *",113.438.000,,,,,,,,,,2025-12-23,2025-12-23 20:39
Camastra,"531,60",18.418.128 ***,"514,18",----------,1.048.605,"524,37","-2,00",----------,9.132.817,"0,00","0,00",2025-12-23,2025-12-23 20:39
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-23,2025-12-23 20:39
Basentello,"269,00",33.039.968,"257,09",6.021.612,450.237,"257,50","1,00",6.488.725,917.350,"1,00","0,00",2025-12-23,2025-12-23 20:39
,"267,50 *",28.001.468,,,,,,,,,,2025-12-23,2025-12-23 20:39
Conza,"434,80",61.813.380,"420,43",13.215.005,9.290.605,"421,82","-2,00",16.625.370,12.700.970,"0,00","0,00",2025-12-23,2025-12-23 20:39
,"431,30 *",45.495.770,,,,,,,,,,2025-12-23,2025-12-23 20:39
Saetta,"951,24",3.480.000,"945,27",823.453,2 00.453,"945,85","0,00",1.005.000,382.000,"0,00","0,00",2025-12-23,2025-12-23 20:39
,"949,00*",2.250.000,,,,,,,,,,2025-12-23,2025-12-23 20:39
S.Giuliano,"101,00",94.081.021,"91,93",15.602.221,11.602.221,"93,56","-1,00",22.987.057,18.987.057,"2,40","0,00",2025-12-23,2025-12-23 20:39
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,60","-5,00",2.508.000,2.367.000,"0,00","0,00",2025-12-23,2025-12-23 20:39
Acerenza,"432,00 **",8.887.800,"424,16",3.452.184,89.984,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-23,2025-12-23 20:39
Genzano,"402,00 **",3.100.000,"400,30",2.410.000,960.000,"401,19","1,00",2.736.000,1.286.000,"0,00","0,00",2025-12-23,2025-12-23 20:39
DESCRIZIONE INVASI,,,24-dicembre-2024,,,24-dicembre-2025,,,,,,2025-12-24,2025-12-24 10:24
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-24,2025-12-24 10:24
,slm,mc.lordi,,,,,,,,,,2025-12-24,2025-12-24 10:24
M.Cotugno,"252,00",480.700.000,"219,33",74.678.000,59.678.000,"216,54","-2,00",57.578.000,42.578.000,"2,00","0,00",2025-12-24,2025-12-24 10:24
,"240,00*",285.700.000,,,,,,,,,,2025-12-24,2025-12-24 10:24
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,45",67.200.000,54.200.000,"513,48","3,00",55.433.000,42.433.000,"16,00","0,00",2025-12-24,2025-12-24 10:24
,"527,00 *",123.429.000,,,,,,,,,,2025-12-24,2025-12-24 10:24
,"525,50 *",113.438.000,,,,,,,,,,2025-12-24,2025-12-24 10:24
Camastra,"531,60",18.418.128 ***,"515,34",----------,1.660.044,"524,36","-1,00",----------,9.122.116,"0,80","0,00",2025-12-24,2025-12-24 10:24
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-24,2025-12-24 10:24
Basentello,"269,00",33.039.968,"257,12",6.055.791,484.416,"257,53","3,00",6.522.904,951.529,"4,00","0,00",2025-12-24,2025-12-24 10:24
,"267,50 *",28.001.468,,,,,,,,,,2025-12-24,2025-12-24 10:24
Conza,"434,80",61.813.380,"420,67",13.803.845,9.879.445,"421,84","2,00",16.674.440,12.750.040,"3,40","0,00",2025-12-24,2025-12-24 10:24
,"431,30 *",45.495.770,,,,,,,,,,2025-12-24,2025-12-24 10:24
Saetta,"951,24",3.480.000,"945,51",903.000,2 80.000,"945,88","3,00",1.014.000,391.000,"10,00","0,00",2025-12-24,2025-12-24 10:24
,"949,00*",2.250.000,,,,,,,,,,2025-12-24,2025-12-24 10:24
S.Giuliano,"101,00",94.081.021,"91,93",15.602.221,11.602.221,"93,60","4,00",23.188.628,19.188.628,"2,40","0,00",2025-12-24,2025-12-24 10:24
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,50","-10,00",2.444.000,2.303.000,"7,40","0,00",2025-12-24,2025-12-24 10:24
Acerenza,"432,00 **",8.887.800,"424,98",3.913.352,551.152,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-24,2025-12-24 10:24
Genzano,"402,00 **",3.100.000,"400,34",2.424.000,974.000,"401,22","3,00",2.749.000,1.299.000,"3,00","0,00",2025-12-24,2025-12-24 10:24
DESCRIZIONE INVASI,,,25-dicembre-2024,,,25-dicembre-2025,,,,,,2025-12-25,2025-12-25 10:24
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-25,2025-12-25 10:24
,slm,mc.lordi,,,,,,,,,,2025-12-25,2025-12-25 10:24
M.Cotugno,"252,00",480.700.000,"219,63",76.658.000,61.658.000,"216,58","4,00",57.806.000,42.806.000,"2,80","0,00",2025-12-25,2025-12-25 10:24
,"240,00*",285.700.000,,,,,,,,,,2025-12-25,2025-12-25 10:24
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,61",67.840.000,54.840.000,"513,61","13,00",55.867.000,42.867.000,"0,00","0,00",2025-12-25,2025-12-25 10:24
,"527,00 *",123.429.000,,,,,,,,,,2025-12-25,2025-12-25 10:24
,"525,50 *",113.438.000,,,,,,,,,,2025-12-25,2025-12-25 10:24
Camastra,"531,60",18.418.128 ***,"515,60",----------,1.810.630,"524,45","9,00",----------,9.218.423,"0,00","0,00",2025-12-25,2025-12-25 10:24
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-25,2025-12-25 10:24
Basentello,"269,00",33.039.968,"257,14",6.078.577,507.202,"257,54","1,00",6.534.297,962.922,"0,00","0,00",2025-12-25,2025-12-25 10:24
,"267,50 *",28.001.468,,,,,,,,,,2025-12-25,2025-12-25 10:24
Conza,"434,80",61.813.380,"420,82",14.171.870,10.247.470,"422,11","27,00",17.336.885,13.412.485,"29,40","0,00",2025-12-25,2025-12-25 10:24
,"431,30 *",45.495.770,,,,,,,,,,2025-12-25,2025-12-25 10:24
